Benchmark Name;Function Name;Execution;Number of vertices;Number of edges;Min count;Max count;Block Ordering;Guess;Distance;Hit
automotive_bitcount;bit_count;16;7;9;0;974202625;"1;1_1.ce;0;1.ph;8;8.le;0_8.ce";"1;1_1.ce;1.ph;8.le;8;0_8.ce;0";5;0,7619
automotive_bitcount;bit_count;17;7;9;0;983807836;"1;1_1.ce;0;1.ph;8;8.le;0_8.ce";"1;1_1.ce;1.ph;8.le;8;0_8.ce;0";5;0,7619
automotive_bitcount;bit_count;18;7;9;0;983807836;"1;1_1.ce;0;1.ph;8;8.le;0_8.ce";"1;1_1.ce;1.ph;8.le;8;0_8.ce;0";5;0,7619
automotive_bitcount;bit_count;19;7;9;0;996435297;"1;1_1.ce;0;1.ph;8;8.le;0_8.ce";"1;1_1.ce;1.ph;8.le;8;0_8.ce;0";5;0,7619
automotive_bitcount;bit_count;20;7;9;0;993077560;"1;1_1.ce;0;1.ph;8;8.le;0_8.ce";"1;1_1.ce;1.ph;8.le;8;0_8.ce;0";5;0,7619
automotive_bitcount;main;1;9;12;0;80;"12;12_12.ce;0;12.ph;21;21.le;7;4;7_21.ce";"12;12_12.ce;12.ph;7;7_21.ce;21.le;21;0;4";11;0,6944
automotive_bitcount;main;2;9;12;0;39;"12;12_12.ce;0;12.ph;21;21.le;7;4;7_21.ce";"12;12_12.ce;12.ph;7;7_21.ce;21.le;21;0;4";11;0,6944
automotive_bitcount;main;3;9;12;0;26;"12;12_12.ce;0;12.ph;21;21.le;7;4;7_21.ce";"12;12_12.ce;12.ph;7;7_21.ce;21.le;21;0;4";11;0,6944
automotive_bitcount;main;4;9;12;0;19;"12;12_12.ce;0;12.ph;21;21.le;7;4;7_21.ce";"12;12_12.ce;12.ph;7;7_21.ce;21.le;21;0;4";11;0,6944
automotive_bitcount;main;5;9;12;0;15;"12;12_12.ce;0;12.ph;21;21.le;7;4;7_21.ce";"12;12_12.ce;12.ph;7;7_21.ce;21.le;21;0;4";11;0,6944
automotive_bitcount;main;6;9;12;0;13;"12;12_12.ce;0;12.ph;21;21.le;7;4;7_21.ce";"12;12_12.ce;12.ph;7;7_21.ce;21.le;21;0;4";11;0,6944
automotive_bitcount;main;7;9;12;0;11;"12;12_12.ce;0;12.ph;21;21.le;7;4;7_21.ce";"12;12_12.ce;12.ph;7;7_21.ce;21.le;21;0;4";11;0,6944
automotive_bitcount;main;8;9;12;0;9;"12;12_12.ce;0;12.ph;21;21.le;7;4;7_21.ce";"12;12_12.ce;12.ph;7;7_21.ce;21.le;21;0;4";11;0,6944
automotive_bitcount;main;9;9;12;0;8;"12;12_12.ce;0;12.ph;21;21.le;7;4;7_21.ce";"12;12_12.ce;12.ph;7;7_21.ce;21.le;21;0;4";11;0,6944
automotive_bitcount;main;10;9;12;0;7;"12;12_12.ce;0;12.ph;21;21.le;7;4;7_21.ce";"12;12_12.ce;12.ph;7;7_21.ce;21.le;21;0;4";11;0,6944
automotive_bitcount;main;11;9;12;0;7;"12;12_12.ce;0;12.ph;21;21.le;7;4;7_21.ce";"12;12_12.ce;12.ph;7;7_21.ce;21.le;21;0;4";11;0,6944
automotive_bitcount;main;12;9;12;0;2;"12;0;12.ph;12_12.ce;21;21.le;7;4;7_21.ce";"12;12_12.ce;12.ph;7;7_21.ce;21.le;21;0;4";13;0,6389
automotive_bitcount;main;13;9;12;0;825;"12;12_12.ce;0;12.ph;21;21.le;7;4;7_21.ce";"12;12_12.ce;12.ph;7;7_21.ce;21.le;21;0;4";11;0,6944
automotive_bitcount;main;14;9;12;0;427;"12;12_12.ce;0;12.ph;21;21.le;7;4;7_21.ce";"12;12_12.ce;12.ph;7;7_21.ce;21.le;21;0;4";11;0,6944
automotive_bitcount;main;15;9;12;0;286;"12;12_12.ce;0;12.ph;21;21.le;7;4;7_21.ce";"12;12_12.ce;12.ph;7;7_21.ce;21.le;21;0;4";11;0,6944
automotive_bitcount;main;16;9;12;0;215;"12;12_12.ce;0;12.ph;21;21.le;7;4;7_21.ce";"12;12_12.ce;12.ph;7;7_21.ce;21.le;21;0;4";11;0,6944
automotive_bitcount;main;17;9;12;0;172;"12;12_12.ce;0;12.ph;21;21.le;7;4;7_21.ce";"12;12_12.ce;12.ph;7;7_21.ce;21.le;21;0;4";11;0,6944
automotive_bitcount;main;18;9;12;0;172;"12;12_12.ce;0;12.ph;21;21.le;7;4;7_21.ce";"12;12_12.ce;12.ph;7;7_21.ce;21.le;21;0;4";11;0,6944
automotive_bitcount;main;19;9;12;0;143;"12;12_12.ce;0;12.ph;21;21.le;7;4;7_21.ce";"12;12_12.ce;12.ph;7;7_21.ce;21.le;21;0;4";11;0,6944
automotive_bitcount;main;20;9;12;0;122;"12;12_12.ce;0;12.ph;21;21.le;7;4;7_21.ce";"12;12_12.ce;12.ph;7;7_21.ce;21.le;21;0;4";11;0,6944
automotive_bitcount;ntbl_bitcnt;1;7;9;160;443116880;"5;5_5.ce;0;16;16.le;5.ph;0_16.ce";"5;5_5.ce;5.ph;16.le;16;0;0_16.ce";6;0,7143
automotive_bitcount;ntbl_bitcnt;2;7;9;78;443562834;"5;5_5.ce;0;16;16.le;5.ph;0_16.ce";"5;5_5.ce;5.ph;16.le;16;0;0_16.ce";6;0,7143
automotive_bitcount;ntbl_bitcnt;3;7;9;52;451708556;"5;5_5.ce;0;16;16.le;5.ph;0_16.ce";"5;5_5.ce;5.ph;16.le;16;0;0_16.ce";6;0,7143
automotive_bitcount;ntbl_bitcnt;4;7;9;38;444094714;"5;5_5.ce;0;16;16.le;5.ph;0_16.ce";"5;5_5.ce;5.ph;16.le;16;0;0_16.ce";6;0,7143
automotive_bitcount;ntbl_bitcnt;5;7;9;30;440601090;"5;5_5.ce;0;16;16.le;5.ph;0_16.ce";"5;5_5.ce;5.ph;16.le;16;0;0_16.ce";6;0,7143
automotive_bitcount;ntbl_bitcnt;6;7;9;26;459854278;"5;5_5.ce;0;16;16.le;5.ph;0_16.ce";"5;5_5.ce;5.ph;16.le;16;0;0_16.ce";6;0,7143
automotive_bitcount;ntbl_bitcnt;7;7;9;22;455107466;"5;5_5.ce;0;16;16.le;5.ph;0_16.ce";"5;5_5.ce;5.ph;16.le;16;0;0_16.ce";6;0,7143
automotive_bitcount;ntbl_bitcnt;8;7;9;18;426360654;"5;5_5.ce;0;16;16.le;5.ph;0_16.ce";"5;5_5.ce;5.ph;16.le;16;0;0_16.ce";6;0,7143
automotive_bitcount;ntbl_bitcnt;9;7;9;16;426987248;"5;5_5.ce;0;16;16.le;5.ph;0_16.ce";"5;5_5.ce;5.ph;16.le;16;0;0_16.ce";6;0,7143
automotive_bitcount;ntbl_bitcnt;10;7;9;14;415613842;"5;5_5.ce;0;16;16.le;5.ph;0_16.ce";"5;5_5.ce;5.ph;16.le;16;0;0_16.ce";6;0,7143
automotive_bitcount;ntbl_bitcnt;11;7;9;14;462863842;"5;5_5.ce;0;16;16.le;5.ph;0_16.ce";"5;5_5.ce;5.ph;16.le;16;0;0_16.ce";6;0,7143
automotive_bitcount;ntbl_bitcnt;12;7;9;4;673449048;"5;5_5.ce;0;16;16.le;5.ph;0_16.ce";"5;5_5.ce;5.ph;16.le;16;0;0_16.ce";6;0,7143
automotive_bitcount;ntbl_bitcnt;13;7;9;1650;393080325;"5;5_5.ce;0;16;16.le;5.ph;0_16.ce";"5;5_5.ce;5.ph;16.le;16;0;0_16.ce";6;0,7143
automotive_bitcount;ntbl_bitcnt;14;7;9;854;416948847;"5;5_5.ce;0;16;16.le;5.ph;0_16.ce";"5;5_5.ce;5.ph;16.le;16;0;0_16.ce";6;0,7143
automotive_bitcount;ntbl_bitcnt;15;7;9;572;422267846;"5;5_5.ce;0;16;16.le;5.ph;0_16.ce";"5;5_5.ce;5.ph;16.le;16;0;0_16.ce";6;0,7143
automotive_bitcount;ntbl_bitcnt;16;7;9;430;424939115;"5;5_5.ce;0;16;16.le;5.ph;0_16.ce";"5;5_5.ce;5.ph;16.le;16;0;0_16.ce";6;0,7143
automotive_bitcount;ntbl_bitcnt;17;7;9;344;425951292;"5;5_5.ce;0;16;16.le;5.ph;0_16.ce";"5;5_5.ce;5.ph;16.le;16;0;0_16.ce";6;0,7143
automotive_bitcount;ntbl_bitcnt;18;7;9;344;425951292;"5;5_5.ce;0;16;16.le;5.ph;0_16.ce";"5;5_5.ce;5.ph;16.le;16;0;0_16.ce";6;0,7143
automotive_bitcount;ntbl_bitcnt;19;7;9;286;425633923;"5;5_5.ce;0;16;16.le;5.ph;0_16.ce";"5;5_5.ce;5.ph;16.le;16;0;0_16.ce";6;0,7143
automotive_bitcount;ntbl_bitcnt;20;7;9;244;424128242;"5;5_5.ce;0;16;16.le;5.ph;0_16.ce";"5;5_5.ce;5.ph;16.le;16;0;0_16.ce";6;0,7143
automotive_qsort1;main;1;9;12;0;226;"12;12_12.ce;0;12.ph;21;21.le;7;4;7_21.ce";"12;12_12.ce;12.ph;7;7_21.ce;21.le;21;0;4";11;0,6944
automotive_qsort1;main;2;9;12;0;423;"12;12_12.ce;0;12.ph;21;21.le;7;4;7_21.ce";"12;12_12.ce;12.ph;7;7_21.ce;21.le;21;0;4";11;0,6944
automotive_qsort1;main;3;9;12;0;303;"12;12_12.ce;0;12.ph;21;21.le;7;4;7_21.ce";"12;12_12.ce;12.ph;7;7_21.ce;21.le;21;0;4";11;0,6944
automotive_qsort1;main;4;9;12;0;263;"12;12_12.ce;0;12.ph;21;21.le;7;4;7_21.ce";"12;12_12.ce;12.ph;7;7_21.ce;21.le;21;0;4";11;0,6944
automotive_qsort1;main;5;9;12;0;375;"12;12_12.ce;0;12.ph;21;21.le;7;4;7_21.ce";"12;12_12.ce;12.ph;7;7_21.ce;21.le;21;0;4";11;0,6944
automotive_qsort1;main;6;9;12;0;1300;"12;12_12.ce;0;12.ph;21;21.le;7;4;7_21.ce";"12;12_12.ce;12.ph;7;7_21.ce;21.le;21;0;4";11;0,6944
automotive_qsort1;main;7;9;12;0;325;"12;12_12.ce;0;12.ph;21;21.le;7;4;7_21.ce";"12;12_12.ce;12.ph;7;7_21.ce;21.le;21;0;4";11;0,6944
automotive_qsort1;main;8;9;12;0;461;"12;12_12.ce;0;12.ph;21;21.le;7;4;7_21.ce";"12;12_12.ce;12.ph;7;7_21.ce;21.le;21;0;4";11;0,6944
automotive_qsort1;main;9;9;12;0;256;"12;12_12.ce;0;12.ph;21;21.le;7;4;7_21.ce";"12;12_12.ce;12.ph;7;7_21.ce;21.le;21;0;4";11;0,6944
automotive_qsort1;main;10;9;12;0;294;"12;12_12.ce;0;12.ph;21;21.le;7;4;7_21.ce";"12;12_12.ce;12.ph;7;7_21.ce;21.le;21;0;4";11;0,6944
automotive_qsort1;main;11;9;12;0;770;"12;12_12.ce;0;12.ph;21;21.le;7;4;7_21.ce";"12;12_12.ce;12.ph;7;7_21.ce;21.le;21;0;4";11;0,6944
automotive_qsort1;main;12;9;12;0;274;"12;12_12.ce;0;12.ph;21;21.le;7;4;7_21.ce";"12;12_12.ce;12.ph;7;7_21.ce;21.le;21;0;4";11;0,6944
automotive_qsort1;main;13;9;12;0;309;"12;12_12.ce;0;12.ph;21;21.le;7;4;7_21.ce";"12;12_12.ce;12.ph;7;7_21.ce;21.le;21;0;4";11;0,6944
automotive_qsort1;main;14;9;12;0;511;"12;12_12.ce;0;12.ph;21;21.le;7;4;7_21.ce";"12;12_12.ce;12.ph;7;7_21.ce;21.le;21;0;4";11;0,6944
automotive_qsort1;main;15;9;12;0;705;"12;12_12.ce;0;12.ph;21;21.le;7;4;7_21.ce";"12;12_12.ce;12.ph;7;7_21.ce;21.le;21;0;4";11;0,6944
automotive_qsort1;main;16;9;12;0;2300;"12;12_12.ce;0;12.ph;21;21.le;7;4;7_21.ce";"12;12_12.ce;12.ph;7;7_21.ce;21.le;21;0;4";11;0,6944
automotive_qsort1;main;17;9;12;0;316;"12;12_12.ce;0;12.ph;21;21.le;7;4;7_21.ce";"12;12_12.ce;12.ph;7;7_21.ce;21.le;21;0;4";11;0,6944
automotive_qsort1;main;18;9;12;0;236;"12;12_12.ce;0;12.ph;21;21.le;7;4;7_21.ce";"12;12_12.ce;12.ph;7;7_21.ce;21.le;21;0;4";11;0,6944
automotive_qsort1;main;19;9;12;0;1300;"12;12_12.ce;0;12.ph;21;21.le;7;4;7_21.ce";"12;12_12.ce;12.ph;7;7_21.ce;21.le;21;0;4";11;0,6944
automotive_qsort1;main;20;9;12;0;200;"12;12_12.ce;0;12.ph;21;21.le;7;4;7_21.ce";"12;12_12.ce;12.ph;7;7_21.ce;21.le;21;0;4";11;0,6944
automotive_qsort1;main1;1;23;29;0;8170578;"14;18;21;26;0;10;14_44.ce;44;74;73;60;60_60.ce;48;52;54;71;71.le;18_44split.ce;44split;44splitsplit;52_71.ce;57;7";"26;14;18;21;60;60_60.ce;14_44.ce;18_44split.ce;44splitsplit;44split;44;48;52;54;52_71.ce;71.le;71;73;74;10;7;57;0";86;0,6601
automotive_qsort1;main1;2;23;29;0;8688843;"14;18;21;26;0;10;14_44.ce;44;74;73;60;60_60.ce;48;52;54;71;71.le;18_44split.ce;44split;44splitsplit;52_71.ce;57;7";"26;14;18;21;60;60_60.ce;14_44.ce;18_44split.ce;44splitsplit;44split;44;48;52;54;52_71.ce;71.le;71;73;74;10;7;57;0";86;0,6601
automotive_qsort1;main1;3;23;29;0;8488545;"14;18;21;26;0;10;14_44.ce;44;74;73;60;60_60.ce;48;52;54;71;71.le;18_44split.ce;44split;44splitsplit;52_71.ce;57;7";"26;14;18;21;60;60_60.ce;14_44.ce;18_44split.ce;44splitsplit;44split;44;48;52;54;52_71.ce;71.le;71;73;74;10;7;57;0";86;0,6601
automotive_qsort1;main1;4;23;29;0;8305803;"14;18;21;26;0;10;14_44.ce;44;74;73;60;60_60.ce;48;52;54;71;71.le;18_44split.ce;44split;44splitsplit;52_71.ce;57;7";"26;14;18;21;60;60_60.ce;14_44.ce;18_44split.ce;44splitsplit;44split;44;48;52;54;52_71.ce;71.le;71;73;74;10;7;57;0";86;0,6601
automotive_qsort1;main1;5;23;29;0;8542875;"14;18;21;26;0;10;14_44.ce;44;74;73;60;60_60.ce;48;52;54;71;71.le;18_44split.ce;44split;44splitsplit;52_71.ce;57;7";"26;14;18;21;60;60_60.ce;14_44.ce;18_44split.ce;44splitsplit;44split;44;48;52;54;52_71.ce;71.le;71;73;74;10;7;57;0";86;0,6601
automotive_qsort1;main1;6;23;29;0;8833500;"14;18;21;26;0;10;14_44.ce;44;74;73;60;60_60.ce;48;52;54;71;71.le;18_44split.ce;44split;44splitsplit;52_71.ce;57;7";"26;14;18;21;60;60_60.ce;14_44.ce;18_44split.ce;44splitsplit;44split;44;48;52;54;52_71.ce;71.le;71;73;74;10;7;57;0";86;0,6601
automotive_qsort1;main1;7;23;29;0;8355750;"14;18;21;26;0;10;14_44.ce;44;74;73;60;60_60.ce;48;52;54;71;71.le;18_44split.ce;44split;44splitsplit;52_71.ce;57;7";"26;14;18;21;60;60_60.ce;14_44.ce;18_44split.ce;44splitsplit;44split;44;48;52;54;52_71.ce;71.le;71;73;74;10;7;57;0";86;0,6601
automotive_qsort1;main1;8;23;29;0;8707368;"14;18;21;26;0;10;14_44.ce;44;74;73;60;60_60.ce;48;52;54;71;71.le;18_44split.ce;44split;44splitsplit;52_71.ce;57;7";"26;14;18;21;60;60_60.ce;14_44.ce;18_44split.ce;44splitsplit;44split;44;48;52;54;52_71.ce;71.le;71;73;74;10;7;57;0";86;0,6601
automotive_qsort1;main1;9;23;29;0;8326144;"14;18;21;26;0;10;14_44.ce;44;74;73;60;60_60.ce;48;52;54;71;71.le;18_44split.ce;44split;44splitsplit;52_71.ce;57;7";"26;14;18;21;60;60_60.ce;14_44.ce;18_44split.ce;44splitsplit;44split;44;48;52;54;52_71.ce;71.le;71;73;74;10;7;57;0";86;0,6601
automotive_qsort1;main1;10;23;29;0;8427216;"14;18;21;26;0;10;14_44.ce;44;74;73;60;60_60.ce;48;52;54;71;71.le;18_44split.ce;44split;44splitsplit;52_71.ce;57;7";"26;14;18;21;60;60_60.ce;14_44.ce;18_44split.ce;44splitsplit;44split;44;48;52;54;52_71.ce;71.le;71;73;74;10;7;57;0";86;0,6601
automotive_qsort1;main1;11;23;29;0;8774920;"14;18;21;26;0;10;14_44.ce;44;74;73;60;60_60.ce;48;52;54;71;71.le;18_44split.ce;44split;44splitsplit;52_71.ce;57;7";"26;14;18;21;60;60_60.ce;14_44.ce;18_44split.ce;44splitsplit;44split;44;48;52;54;52_71.ce;71.le;71;73;74;10;7;57;0";86;0,6601
automotive_qsort1;main1;12;23;29;0;8370974;"14;18;21;26;0;10;14_44.ce;44;74;73;60;60_60.ce;48;52;54;71;71.le;18_44split.ce;44split;44splitsplit;52_71.ce;57;7";"26;14;18;21;60;60_60.ce;14_44.ce;18_44split.ce;44splitsplit;44split;44;48;52;54;52_71.ce;71.le;71;73;74;10;7;57;0";86;0,6601
automotive_qsort1;main1;13;23;29;0;8441571;"14;18;21;26;0;10;14_44.ce;44;74;73;60;60_60.ce;48;52;54;71;71.le;18_44split.ce;44split;44splitsplit;52_71.ce;57;7";"26;14;18;21;60;60_60.ce;14_44.ce;18_44split.ce;44splitsplit;44split;44;48;52;54;52_71.ce;71.le;71;73;74;10;7;57;0";86;0,6601
automotive_qsort1;main1;14;23;29;0;8725836;"14;18;21;26;0;10;14_44.ce;44;74;73;60;60_60.ce;48;52;54;71;71.le;18_44split.ce;44split;44splitsplit;52_71.ce;57;7";"26;14;18;21;60;60_60.ce;14_44.ce;18_44split.ce;44splitsplit;44split;44;48;52;54;52_71.ce;71.le;71;73;74;10;7;57;0";86;0,6601
automotive_qsort1;main1;15;23;29;0;8930940;"14;18;21;26;0;10;14_44.ce;44;74;73;60;60_60.ce;48;52;54;71;71.le;18_44split.ce;44split;44splitsplit;52_71.ce;57;7";"26;14;18;21;60;60_60.ce;14_44.ce;18_44split.ce;44splitsplit;44split;44;48;52;54;52_71.ce;71.le;71;73;74;10;7;57;0";86;0,6601
automotive_qsort1;main1;16;23;29;0;9071200;"14;18;21;26;0;10;14_44.ce;44;74;73;60;60_60.ce;48;52;54;71;71.le;18_44split.ce;44split;44splitsplit;52_71.ce;57;7";"26;14;18;21;60;60_60.ce;14_44.ce;18_44split.ce;44splitsplit;44split;44;48;52;54;52_71.ce;71.le;71;73;74;10;7;57;0";86;0,6601
automotive_qsort1;main1;17;23;29;0;8286784;"14;18;21;26;0;10;14_44.ce;44;74;73;60;60_60.ce;48;52;54;71;71.le;18_44split.ce;44split;44splitsplit;52_71.ce;57;7";"26;14;18;21;60;60_60.ce;14_44.ce;18_44split.ce;44splitsplit;44split;44;48;52;54;52_71.ce;71.le;71;73;74;10;7;57;0";86;0,6601
automotive_qsort1;main1;18;23;29;0;8291152;"14;18;21;26;0;10;14_44.ce;44;74;73;60;60_60.ce;48;52;54;71;71.le;18_44split.ce;44split;44splitsplit;52_71.ce;57;7";"26;14;18;21;60;60_60.ce;14_44.ce;18_44split.ce;44splitsplit;44split;44;48;52;54;52_71.ce;71.le;71;73;74;10;7;57;0";86;0,6601
automotive_qsort1;main1;19;23;29;0;8856900;"14;18;21;26;0;10;14_44.ce;44;74;73;60;60_60.ce;48;52;54;71;71.le;18_44split.ce;44split;44splitsplit;52_71.ce;57;7";"26;14;18;21;60;60_60.ce;14_44.ce;18_44split.ce;44splitsplit;44split;44;48;52;54;52_71.ce;71.le;71;73;74;10;7;57;0";86;0,6601
automotive_qsort1;main1;20;23;29;0;8126000;"14;18;21;26;0;10;14_44.ce;44;74;73;60;60_60.ce;48;52;54;71;71.le;18_44split.ce;44split;44splitsplit;52_71.ce;57;7";"26;14;18;21;60;60_60.ce;14_44.ce;18_44split.ce;44splitsplit;44split;44;48;52;54;52_71.ce;71.le;71;73;74;10;7;57;0";86;0,6601
automotive_susan_c;getint;1;11;14;0;7038;"14;14_14.ce;2;9;0;14.ph;23;12;9_12.ce;4;6";"14;14_14.ce;14.ph;2;9;9_12.ce;12;0;4;6;23";10;0,8182
automotive_susan_c;getint;2;11;14;0;6219;"14;14_14.ce;2;9;0;14.ph;23;12;9_12.ce;4;6";"14;14_14.ce;14.ph;2;9;9_12.ce;12;0;4;6;23";10;0,8182
automotive_susan_c;getint;3;11;14;0;1953;"14;14_14.ce;2;9;0;14.ph;23;12;9_12.ce;4;6";"14;14_14.ce;14.ph;2;9;9_12.ce;12;0;4;6;23";10;0,8182
automotive_susan_c;getint;4;11;14;0;24660;"14;14_14.ce;2;9;0;14.ph;23;12;9_12.ce;4;6";"14;14_14.ce;14.ph;2;9;9_12.ce;12;0;4;6;23";10;0,8182
automotive_susan_c;getint;5;11;14;0;2826;"14;14_14.ce;2;9;0;14.ph;23;12;9_12.ce;4;6";"14;14_14.ce;14.ph;2;9;9_12.ce;12;0;4;6;23";10;0,8182
automotive_susan_c;getint;6;11;14;0;1926;"14;14_14.ce;2;9;0;14.ph;23;12;9_12.ce;4;6";"14;14_14.ce;14.ph;2;9;9_12.ce;12;0;4;6;23";10;0,8182
automotive_susan_c;getint;7;11;14;0;8694;"14;14_14.ce;2;9;0;14.ph;23;12;9_12.ce;4;6";"14;14_14.ce;14.ph;2;9;9_12.ce;12;0;4;6;23";10;0,8182
automotive_susan_c;getint;8;11;14;0;31644;"14;14_14.ce;2;9;0;14.ph;23;12;9_12.ce;4;6";"14;14_14.ce;14.ph;2;9;9_12.ce;12;0;4;6;23";10;0,8182
automotive_susan_c;getint;9;11;14;0;1450;"14;14_14.ce;2;9;0;14.ph;23;12;9_12.ce;4;6";"14;14_14.ce;14.ph;2;9;9_12.ce;12;0;4;6;23";10;0,8182
automotive_susan_c;getint;10;11;14;0;20925;"14;14_14.ce;2;9;0;14.ph;23;12;9_12.ce;4;6";"14;14_14.ce;14.ph;2;9;9_12.ce;12;0;4;6;23";10;0,8182
automotive_susan_c;getint;11;11;14;0;3690;"14;14_14.ce;2;9;0;14.ph;23;12;9_12.ce;4;6";"14;14_14.ce;14.ph;2;9;9_12.ce;12;0;4;6;23";10;0,8182
automotive_susan_c;getint;12;11;14;0;1090;"14;14_14.ce;2;9;0;14.ph;23;12;9_12.ce;4;6";"14;14_14.ce;14.ph;2;9;9_12.ce;12;0;4;6;23";10;0,8182
automotive_susan_c;getint;13;11;14;0;15192;"14;14_14.ce;2;9;0;14.ph;23;12;9_12.ce;4;6";"14;14_14.ce;14.ph;2;9;9_12.ce;12;0;4;6;23";10;0,8182
automotive_susan_c;getint;14;11;14;0;4968;"14;14_14.ce;2;9;0;14.ph;23;12;9_12.ce;4;6";"14;14_14.ce;14.ph;2;9;9_12.ce;12;0;4;6;23";10;0,8182
automotive_susan_c;getint;15;11;14;0;3726;"14;14_14.ce;2;9;0;14.ph;23;12;9_12.ce;4;6";"14;14_14.ce;14.ph;2;9;9_12.ce;12;0;4;6;23";10;0,8182
automotive_susan_c;getint;16;11;14;0;6876;"14;14_14.ce;2;9;0;14.ph;23;12;9_12.ce;4;6";"14;14_14.ce;14.ph;2;9;9_12.ce;12;0;4;6;23";10;0,8182
automotive_susan_c;getint;17;11;14;0;5121;"14;14_14.ce;2;9;0;14.ph;23;12;9_12.ce;4;6";"14;14_14.ce;14.ph;2;9;9_12.ce;12;0;4;6;23";10;0,8182
automotive_susan_c;getint;18;11;14;0;7695;"14;14_14.ce;2;9;0;14.ph;23;12;9_12.ce;4;6";"14;14_14.ce;14.ph;2;9;9_12.ce;12;0;4;6;23";10;0,8182
automotive_susan_c;getint;19;11;14;0;1520;"14;14_14.ce;2;9;0;14.ph;23;12;9_12.ce;4;6";"14;14_14.ce;14.ph;2;9;9_12.ce;12;0;4;6;23";10;0,8182
automotive_susan_c;getint;20;11;14;0;3150;"14;14_14.ce;2;9;0;14.ph;23;12;9_12.ce;4;6";"14;14_14.ce;14.ph;2;9;9_12.ce;12;0;4;6;23";10;0,8182
automotive_susan_c;main;1;9;12;0;782;"12;12_12.ce;0;12.ph;17;17.le;7;4;7_17.ce";"12;12_12.ce;12.ph;7;7_17.ce;17.le;17;0;4";11;0,6944
automotive_susan_c;main;2;9;12;0;691;"12;12_12.ce;0;12.ph;17;17.le;7;4;7_17.ce";"12;12_12.ce;12.ph;7;7_17.ce;17.le;17;0;4";11;0,6944
automotive_susan_c;main;3;9;12;0;217;"12;12_12.ce;0;12.ph;17;17.le;7;4;7_17.ce";"12;12_12.ce;12.ph;7;7_17.ce;17.le;17;0;4";11;0,6944
automotive_susan_c;main;4;9;12;0;2740;"12;12_12.ce;0;12.ph;17;17.le;7;4;7_17.ce";"12;12_12.ce;12.ph;7;7_17.ce;17.le;17;0;4";11;0,6944
automotive_susan_c;main;5;9;12;0;314;"12;12_12.ce;0;12.ph;17;17.le;7;4;7_17.ce";"12;12_12.ce;12.ph;7;7_17.ce;17.le;17;0;4";11;0,6944
